Title,Employees,Revenues,Revchange,Assets,Totshequity,Profits
Qualcomm,30500,23554,-6.8,52359,31778,5705
Progressive,31721,23441,12.4,33428,7957,1031
Duke Energy,28798,23369,-1,132761,41033,2152
Enterprise Products Partners,6800,23022,-14.8,52194,22047,2513.1
Amgen,19200,22991,6.1,77626,29875,7722
US Foods Holding,25000,22919,-0.9,8945,2538,209.8
U.S. Bancorp,71191,22744,5.8,445964,47298,5888
Aflac,10212,22559,8.1,129819,20482,2659
Sears Holdings,140000,22138,-12,9362,-3824,-2221
Dollar General,121000,21987,7.9,11672,5406,1251.1
AutoNation,26000,21609,3.6,10060,2310,430.5
Community Health Systems,108000,21374,-5.8,21944,1615,-1721
Starbucks,254000,21316,11.2,14330,5884,2817.7
Eli Lilly,41975,21222,6.3,38806,14008,2737.6
International Paper,55000,21079,-5.8,33345,4341,904
Tenet Healthcare,116475,21070,4.8,24701,417,-192
Abbott Laboratories,75000,20853,0.9,52666,20538,1400
Dollar Tree,116050,20719,33.7,15702,5390,896.2
Whirlpool,93000,20718,-0.8,19153,4773,888
Southwest Airlines,53536,20425,3.1,23286,8441,2244
Emerson Electric,103500,20268,-9.1,21743,7568,1635
Staples,61503,20217,-4,8271,3688,-1497
Plains GP Holdings,5100,20182,-12.8,26103,1737,94
Penske Automotive Group,24000,20143,4,8861,1751,342.9
Union Pacific,42919,19941,-8.6,55718,19932,4233
Danaher,62000,19912,-4.8,45295,23003,2553.7
Southern,32015,19896,13.8,109697,24758,2448
ManpowerGroup,28000,19654,1.7,7574,2362,443.7
Bristol-Myers Squibb,25000,19427,17.3,33707,16177,4457
Altria Group,8300,19337,2.6,45932,12770,14239
Fluor,61551,19037,5.1,9216,3125,281.4
Kohl’s,85000,18686,-2.7,13574,5177,556
Lear,148400,18558,1.9,9901,3057,975.1
Jabil Circuit,138000,18353,2.5,10323,2438,254.1
Hartford Financial Services Group,16900,18300,-0.4,223432,16903,896
Thermo Fisher Scientific,54800,18274,7.7,45908,21539,2021.8
Kimberly-Clark,42000,18202,-2.1,14602,-102,2166
Molina Healthcare,21000,17782,25.4,7449,1649,52
PG&E Corp.,24000,17666,4.9,68598,17940,1393
Supervalu,38000,17529,-1.6,4370,-441,178
Cummins,55400,17509,-8.4,15011,6875,1394
CenturyLink,40000,17470,-2.4,47017,13399,626
AECOM,87000,17411,-3.2,13727,3367,96.1
Xerox,133600,17126,-8.2,18145,4803,-477
Marriott International,226500,17072,17.9,24140,5357,780
