Title,Employees,Sector,Industry,Hqcity,Hqstate,Revenues,Revchange,Prftchange,Assets,Totshequity,Profits
Lockheed Martin,97000,Aerospace & Defense,Aerospace and Defense,Bethesda,MD,50658,9.8,47.1,47806,1511,5302
Sysco,51900,Wholesalers,Wholesalers: Food and Grocery,Houston,TX,50367,3.5,38.3,16722,3480,949.6
FedEx,335767,Transportation,"Mail, Package, and Freight Delivery",Memphis,TN,50365,6.1,73.3,46064,13784,1820
Hewlett Packard Enterprise,195000,Technology,Information Technology Services,Palo Alto,CA,50123,6.1,73.3,79679,31448,3161
Cisco Systems,73700,Technology,Network and Other Communications Equipment,San Jose,CA,49247,0.2,19.6,121652,63586,10739
HP,49000,Technology,"Computers, Office Equipment",Palo Alto,CA,48238,-53.3,-45.2,29010,-3889,2496
Dow Chemical,56000,Chemicals,Chemicals,Midland,MI,48158,-1.3,-43.8,79511,25987,4318
HCA Holdings,210500,Health Care,Health Care: Medical Facilities,Nashville,TN,44747,2.7,35.7,33758,-7302,2890
Coca-Cola,100300,"Food, Beverages & Tobacco",Beverages,Atlanta,GA,41863,-5.5,-11.2,87270,23062,6527
New York Life Insurance,11320,Financials,"Insurance: Life, Health (Mutual)",New York,NY,40787,-11.1,324.1,287196,20108,1088.1
Centene,30500,Health Care,Health Care: Insurance and Managed Care,St. Louis,MO,40721,78.6,58.3,20197,5895,562
American Airlines Group,122300,Transportation,Airlines,Fort Worth,TX,40180,-2,-64.8,51274,3785,2676
Nationwide,34320,Financials,Insurance: Property and Casualty (Mutual),Columbus,OH,40074,-0.4,-42.4,197790,15537,334.3
Merck,68000,Health Care,Pharmaceuticals,Kenilworth,NJ,39807,0.8,-11.8,95377,40088,3920
Cigna,41000,Health Care,Health Care: Insurance and Managed Care,Bloomfield,CT,39668,4.7,-10.8,59360,13723,1867
Delta Air Lines,83756,Transportation,Airlines,Atlanta,GA,39639,-2.6,-3.4,51261,12287,4373
Best Buy,125000,Retailing,Specialty Retailers: Other,Richfield,MN,39403,-0.9,36.9,13856,4709,1228
Honeywell International,131000,Industrials,"Electronics, Electrical Equipment",Morris Plains,NJ,39302,1.9,0.9,54146,19369,4809
Caterpillar,95400,Industrials,Construction and Farm Machinery,Peoria,IL,38537,-18,-103.2,74704,13137,-67
Liberty Mutual Insurance Group,50000,Financials,Insurance: Property and Casualty (Stock),Boston,MA,38308,-2.9,95.7,125592,20366,1006
Morgan Stanley,55311,Financials,Commercial Banks,New York,NY,37949,0.1,-2.4,814949,76050,5979
Massachusetts Mutual Life Insurance,11737,Financials,"Insurance: Life, Health (Mutual)",Springfield,MA,37788,-1.2,-10.6,271040,15424,1273.5
Goldman Sachs Group,34400,Financials,Commercial Banks,New York,NY,37712,-3.8,21.6,860165,86893,7398
Energy Transfer Equity,30992,Energy,Pipelines,Dallas,TX,37504,-11,-16.3,79011,-1694,995
TIAA,12997,Financials,"Insurance: Life, Health (Mutual)",New York,NY,37105,5.5,22.9,523194,35583,1492.3
Oracle,136000,Technology,Computer Software,Redwood City,CA,37047,-3.1,-10.4,112180,47289,8901
Tyson Foods,114000,"Food, Beverages & Tobacco",Food Production,Springdale,AR,36881,-10.9,44.9,22373,9608,1768
United Continental Holdings,88000,Transportation,Airlines,Chicago,IL,36556,-3.5,-69.2,40140,8659,2263
Allstate,43275,Financials,Insurance: Property and Casualty (Stock),Northbrook,IL,36534,2.5,-13.5,108610,20573,1877
Publix Super Markets,191000,Food & Drug Stores,Food and Drug Stores,Lakeland,FL,34274,5.1,3.1,17464,13473,2025.7
American Express,56400,Financials,Diversified Financials,New York,NY,33823,-1.8,4.7,158893,20501,5408
TJX,235000,Retailing,Specialty Retailers: Apparel,Framingham,MA,33184,7.2,0.9,12884,4511,2298.2
Nike,70700,Apparel,Apparel,Beaverton,OR,32376,5.8,14.9,21396,12258,3760
Exelon,34396,Energy,Utilities: Gas and Electric,Chicago,IL,31360,6.5,-50,114904,25837,1134
General Dynamics,98800,Aerospace & Defense,Aerospace and Defense,Falls Church,VA,31353,-0.4,-0.3,32872,10976,2955
Rite Aid,70580,Food & Drug Stores,Food and Drug Stores,Camp Hill,PA,30737,15.9,-92.2,11277,581,165.5
Gilead Sciences,9000,Health Care,Pharmaceuticals,Foster City,CA,30390,-6.9,-25.4,56977,18887,13501
CHS,12157,"Food, Beverages & Tobacco",Food Production,Inver Grove Heights,MN,30347,-12.2,-45.7,17318,7852,424.2
3M,91584,Industrials,Miscellaneous,St. Paul,MN,30109,-0.5,4.5,32906,10298,5050
Time Warner,25000,Media,Entertainment,New York,NY,29318,4.3,2.4,65966,24335,3926
Charter Communications,91500,Telecommunications,Telecommunications,Stamford,CT,29003,197.3,2.4,149067,40139,3522
Northwestern Mutual,5646,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,WI,28799,2.4,0.4,250441,20226,818
Facebook,17048,Technology,Internet Services and Retailing,Menlo Park,CA,27638,54.2,177,64961,59194,10217
Travelers Cos.,30900,Financials,Insurance: Property and Casualty (Stock),New York,NY,27625,3.1,-12.4,100245,23221,3014
Capital One Financial,47300,Financials,Commercial Banks,McLean,VA,27519,9.6,-7.4,357033,47514,3751
Twenty-First Century Fox,21500,Media,Entertainment,New York,NY,27326,-5.7,-66.8,48365,13661,2755
USAA,29943,Financials,Insurance: Property and Casualty (Stock),San Antonio,TX,27131,11.4,-21.7,147290,28840,1779.1
World Fuel Services,5000,Energy,Energy,Miami,FL,27016,-11.1,-27.5,5413,1925,126.5
Philip Morris International,79500,"Food, Beverages & Tobacco",Tobacco,New York,NY,26685,-0.4,1.4,36851,-12688,6967
Deere,56767,Industrials,Construction and Farm Machinery,Moline,IL,26644,-7.7,-21.4,57981,6520,1523.9
Kraft Heinz,41000,"Food, Beverages & Tobacco",Food Consumer Products,Pittsburgh,PA,26487,44.4,472.9,120480,57358,3632
Tech Data,9500,Wholesalers,Wholesalers: Electronics and Office Equipment,Clearwater,FL,26235,-0.5,-26.6,7932,2170,195.1
Avnet,17700,Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,AZ,26219,-6.1,-11.4,11240,4691,506.5
Mondelez International,90000,"Food, Beverages & Tobacco",Food Consumer Products,Deerfield,IL,25923,-12.5,-77.2,61538,25161,1659
Macy’s,148300,Retailing,General Merchandisers,Cincinnati,OH,25778,-4.8,-42.3,19851,4323,619
AbbVie,30000,Health Care,Pharmaceuticals,North Chicago,IL,25638,12.2,15.7,66099,4636,5953
McDonald’s,375000,"Hotels, Restaurants & Leisure",Food Services,Oak Brook,IL,24622,-3.1,3.5,31024,-2204,4686.5
DuPont,46000,Chemicals,Chemicals,Wilmington,DE,24594,-12,28.7,39964,9998,2513
Northrop Grumman,67000,Aerospace & Defense,Aerospace and Defense,Falls Church,VA,24508,4.2,10.6,25614,5259,2200
ConocoPhillips,13300,Energy,"Mining, Crude-Oil Production",Houston,TX,24360,-21.3,10.6,89772,34974,-3615
Raytheon,63000,Aerospace & Defense,Aerospace and Defense,Waltham,MA,24069,3.5,6.6,30052,10066,2211
Tesoro,6308,Energy,Petroleum Refining,San Antonio,TX,24005,-14.7,-52.3,20398,5465,734
Arrow Electronics,18700,Wholesalers,Wholesalers: Electronics and Office Equipment,Centennial,CO,23825,2.3,5,14206,4413,522.8
Qualcomm,30500,Technology,Semiconductors and Other Electronic Components,San Diego,CA,23554,-6.8,8.2,52359,31778,5705
Progressive,31721,Financials,Insurance: Property and Casualty (Stock),Mayfield Village,OH,23441,12.4,-18.7,33428,7957,1031
Duke Energy,28798,Energy,Utilities: Gas and Electric,Charlotte,NC,23369,-1,-23.6,132761,41033,2152
Enterprise Products Partners,6800,Energy,Pipelines,Houston,TX,23022,-14.8,-0.3,52194,22047,2513.1
Amgen,19200,Health Care,Pharmaceuticals,Thousand Oaks,CA,22991,6.1,11.3,77626,29875,7722
US Foods Holding,25000,Wholesalers,Wholesalers: Food and Grocery,Rosemont,IL,22919,-0.9,25.2,8945,2538,209.8
U.S. Bancorp,71191,Financials,Commercial Banks,Minneapolis,MN,22744,5.8,0.2,445964,47298,5888
