Title,Employees,Sector,Industry,Hqcity,Hqstate,Revenues,Revchange,Prftchange,Assets,Totshequity,Profits
Hilton Worldwide Holdings,169000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",McLean,VA,11663,3.5,-75.2,26211,5899,348
First Data,24000,Business Services,Financial Data Services,Atlanta,GA,11584,1.2,-75.2,40292,1220,420
Henry Schein,21000,Wholesalers,Wholesalers: Health Care,Melville,NY,11572,8.9,5.8,6730,2793,506.8
Toys “R” Us,64000,Retailing,Specialty Retailers: Other,Wayne,NJ,11540,-2.2,5.8,6908,-1292,-36
BB&T Corp.,37500,Financials,Commercial Banks,Winston-Salem,NC,11538,11.5,16.4,219276,29881,2426
Reinsurance Group of America,2371,Financials,"Insurance: Life, Health (Stock)",Chesterfield,MO,11522,10.6,39.7,53098,7093.1,701.4
Core-Mark Holding,7688,Wholesalers,Wholesalers: Food and Grocery,South San Francisco,CA,11507,29.9,5.2,1497,530,54.2
Biogen,7400,Health Care,Pharmaceuticals,Cambridge,MA,11449,6.4,4.4,22877,12140,3702.8
Las Vegas Sands,49000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,11410,-2.4,-15.1,20469,6177,1670
Stanley Black & Decker,54023,Household Products,"Home Equipment, Furnishings",New Britain,CT,11407,1.7,9.2,15635,6367,965.3
Parker-Hannifin,48950,Industrials,Industrial Machinery,Cleveland,OH,11361,-10.6,-20.3,12057,4575,806.8
Stryker,33000,Health Care,Medical Products and Equipment,Kalamazoo,MI,11325,13.9,14.5,20435,9550,1647
Estee Lauder,46000,Household Products,Household and Personal Products,New York,NY,11262,4.5,2.4,9223,3572,1114.6
Celgene,7132,Health Care,Pharmaceuticals,Summit,NJ,11229,21.3,24.8,28086,6599,1999.2
BlackRock,13000,Financials,Securities,New York,NY,11155,-2.2,-5.2,220177,29098,3172
Xcel Energy,11476,Energy,Utilities: Gas and Electric,Minneapolis,MN,11107,0.7,14.1,41155,11021,1123.4
CSX,26628,Transportation,Railroads,Jacksonville,FL,11069,-6.3,-12.9,35414,11679,1714
Unum Group,9400,Financials,"Insurance: Life, Health (Stock)",Chattanooga,TN,11047,2.9,7.4,61942,8968,931.4
Jacobs Engineering Group,49350,Engineering & Construction,"Engineering, Construction",Dallas,TX,10964,-9.5,-30.5,7360,4265,210.5
Lennar,8335,Engineering & Construction,Homebuilders,Miami,FL,10950,15.6,13.6,15362,7026,911.8
Group 1 Automotive,13500,Retailing,"Automotive Retailing, Services",Houston,TX,10888,2.4,56.5,4462,930,147.1
Leucadia National,13000,Financials,Diversified Financials,New York,NY,10875,-6.9,-54.2,45071,10128,130
Entergy,13513,Energy,Utilities: Gas and Electric,New Orleans,LA,10846,-5.8,-54.2,45904,8082,-583.6
PayPal Holdings,18100,Business Services,Financial Data Services,San Jose,CA,10842,17.2,14.1,33103,14712,1401
Applied Materials,16150,Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,10825,12.1,25,14588,7217,1721
Voya Financial,6700,Financials,Diversified Financials,New York,NY,10782,-4.9,-204.8,214235,12994,-428
Mastercard,11900,Business Services,Financial Data Services,Purchase,NY,10776,11.5,6.6,18675,5656,4059
Priceline Group,18500,Technology,Internet Services and Retailing,Norwalk,CT,10743,16.5,-16.3,19839,9820,2135
Liberty Interactive,21080,Retailing,Internet Services and Retailing,Englewood,CO,10647,6.6,42.1,20355,6772,1235
AutoZone,66780,Retailing,Specialty Retailers: Other,Memphis,TN,10636,4.4,7,8600,-1788,1241
State Street Corp.,33783,Financials,Commercial Banks,Boston,MA,10635,-1.2,8.2,242698,21219,2143
DTE Energy,10000,Energy,Utilities: Gas and Electric,Detroit,MI,10630,2.8,19.4,32041,9011,868
L3 Technologies,38000,Aerospace & Defense,Aerospace and Defense,New York,NY,10597,-8.3,19.4,11865,4553,710
HollyFrontier,2676,Energy,Petroleum Refining,Dallas,TX,10536,-20.4,-135.2,9436,4681,-260.5
Praxair,26498,Chemicals,Chemicals,Danbury,CT,10534,-2.2,-3,19332,5021,1500
Universal Health Services,70863,Health Care,Health Care: Medical Facilities,King of Prussia,PA,10508,7.4,3.2,10318,4533,702.4
Discover Financial Services,15549,Financials,Commercial Banks,Riverwoods,IL,10497,4.9,4.2,92308,11323,2393
Occidental Petroleum,11000,Energy,"Mining, Crude-Oil Production",Houston,TX,10398,-18.1,4.2,43109,21497,-574
United States Steel,29800,Materials,Metals,Pittsburgh,PA,10261,-11.3,4.2,9160,2274,-440
Sempra Energy,16575,Energy,Utilities: Gas and Electric,San Diego,CA,10183,-0.5,1.6,47786,12951,1370
Baxter International,48000,Health Care,Medical Products and Equipment,Deerfield,IL,10163,2,412.9,15546,8290,4965
W.W. Grainger,25000,Wholesalers,Wholesalers: Diversified,Lake Forest,IL,10137,1.6,-21.2,5694,1798,605.9
Autoliv,65900,Motor Vehicles & Parts,Motor Vehicles and Parts,Auburn Hills,MI,10074,9.9,24.1,8234,3677,567.1
Norfolk Southern,27856,Transportation,Railroads,Norfolk,VA,9888,-5.9,7.2,34892,12409,1668
Baker Hughes,33000,Energy,"Oil and Gas Equipment, Services",Houston,TX,9841,-37.5,7.2,19034,12656,-2738
Ally Financial,7600,Financials,Diversified Financials,Detroit,MI,9835,3.1,-17.2,163728,13317,1067
Sonic Automotive,9800,Retailing,"Automotive Retailing, Services",Charlotte,NC,9732,1.1,8,3639,725,93.2
Owens & Minor,7900,Wholesalers,Wholesalers: Health Care,Mechanicsville,VA,9723,-0.5,5.2,2718,960,108.8
Huntsman,15000,Chemicals,Chemicals,The Woodlands,TX,9657,-6.2,250.5,9189,1287,326
Laboratory Corp. of America,52000,Health Care,Health Care: Pharmacy and Other Services,Burlington,NC,9642,11.1,67.6,14247,5506,732.1
Murphy USA,6600,Retailing,Specialty Retailers: Other,El Dorado,AR,9633,-11.5,25.6,2089,697,221.5
Advance Auto Parts,57500,Retailing,Specialty Retailers: Other,Roanoke,VA,9568,-1.7,-2.9,8315,2916,459.6
Fidelity National Financial,55219,Financials,Insurance: Property and Casualty (Stock),Jacksonville,FL,9554,4.6,23.3,14463,5996,650
Air Products & Chemicals,18450,Chemicals,Chemicals,Allentown,PA,9524,-3.7,-50.6,18055,7080,631.1
Hormel Foods,21100,"Food, Beverages & Tobacco",Food Consumer Products,Austin,MN,9523,2.8,29.7,6370,4448,890.1
Hertz Global Holdings,36000,Retailing,"Automotive Retailing, Services",Estero,FL,9480,-10,-279.9,19155,1075,-491
MGM Resorts International,66500,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,9455,2.9,-279.9,28173,6220,1101.4
Corning,40700,Industrials,"Electronics, Electrical Equipment",Corning,NY,9390,3.1,176,27899,17893,3695
Republic Services,33000,Business Services,Waste Management,Phoenix,AZ,9388,3,-18.3,20630,7691,612.6
Alcoa,14000,Materials,Metals,New York,NY,9318,3,-18.3,16741,5654,-400
Fidelity National Information Services,55000,Business Services,Financial Data Services,Jacksonville,FL,9241,40.1,-10.1,26031,9741,568
Pacific Life,3628,Financials,"Insurance: Life, Health (Stock)",Newport Beach,CA,9169,6.1,24.7,143298,11022,824
SunTrust Banks,24375,Financials,Commercial Banks,Atlanta,GA,9161,7.4,-2.8,204875,23515,1878
LKQ,42500,Wholesalers,Wholesalers: Diversified,Chicago,IL,9082,26.3,9.6,8303,3442.9,464
BorgWarner,27000,Motor Vehicles & Parts,Motor Vehicles and Parts,Auburn Hills,MI,9071,13.1,-80.6,8835,3218.3,118.5
Ball,18450,Materials,"Packaging, Containers",Broomfield,CO,9061,13.3,-6.4,16173,3435,263
CST Brands,12380,Retailing,Specialty Retailers: Other,San Antonio,TX,9061,-4.6,117.4,4360,1229,324
Public Service Enterprise Group,13065,Energy,Utilities: Gas and Electric,Newark,NJ,9061,-13,-47.2,40070,13130,887
Eastman Chemical,14000,Chemicals,Chemicals,Kingsport,TN,9008,-6.6,0.7,15457,4532,854
eBay,12600,Technology,Internet Services and Retailing,San Jose,CA,8979,-5.4,321.2,23847,10539,7266
Mohawk Industries,37800,Household Products,"Home Equipment, Furnishings",Calhoun,GA,8959,11,51.2,10231,5777,930.4
Oneok,2384,Energy,Pipelines,Tulsa,OK,8921,14.9,43.7,16139,189,352
Frontier Communications,28332,Telecommunications,Telecommunications,Norwalk,CT,8896,59.5,43.7,29013,4519,-373
Netflix,3850,Technology,Internet Services and Retailing,Los Gatos,CA,8831,30.3,52.2,13587,2680,186.7
American Family Insurance Group,10471,Financials,Insurance: Property and Casualty (Stock),Madison,WI,8829,6.6,-53.1,22662,7760,325.6
Thrivent Financial for Lutherans,3282,Financials,"Insurance: Life, Health (Mutual)",Minneapolis,MN,8777,-0.1,-23.6,88561,7726,587.8
Expedia,20075,Technology,Internet Services and Retailing,Bellevue,WA,8774,31.5,-63.1,15778,4132,281.8
Lithia Motors,11170,Retailing,"Automotive Retailing, Services",Medford,OR,8678,10.3,7.7,3844,911,197.1
Avis Budget Group,25600,Retailing,"Automotive Retailing, Services",Parsippany,NJ,8659,1.8,-47.9,17643,221,163
Reliance Steel & Aluminum,14500,Materials,Metals,Los Angeles,CA,8613,-7.9,-2.3,7411,4149,304.3
GameStop,41750,Retailing,Specialty Retailers: Other,Grapevine,TX,8608,-8.1,-12.3,4976,2254,353.2
Tenneco,31000,Motor Vehicles & Parts,Motor Vehicles and Parts,Lake Forest,IL,8599,4.8,47,4342,588,363
O’Reilly Automotive,58397,Retailing,Specialty Retailers: Other,Springfield,MO,8593,7.9,11.4,7204,1627,1037.7
Peter Kiewit Sons’,20000,Engineering & Construction,"Engineering, Construction",Omaha,NE,8573,-4.7,57.8,6179,3268,396
United Natural Foods,9554,Wholesalers,Wholesalers: Food and Grocery,Providence,RI,8470,3.5,-9.3,2852,1520,125.8
salesforce.com,25000,Technology,Computer Software,San Francisco,CA,8392,25.9,-9.3,17585,7500,179.6
Boston Scientific,27000,Health Care,Medical Products and Equipment,Marlborough,MA,8386,12.2,-9.3,18096,6733,347
Newmont Mining,12438,Energy,"Mining, Crude-Oil Production",Greenwood Village,CO,8379,8.4,-385,21031,10721,-627
Genworth Financial,3400,Financials,"Insurance: Life, Health (Stock)",Richmond,VA,8369,-9.5,-385,104658,12644,-277
Live Nation Entertainment,11500,Media,Entertainment,Beverly Hills,CA,8355,15.3,-385,6764,1126,2.9
Veritiv,8700,Wholesalers,Wholesalers: Diversified,Atlanta,GA,8327,-4.5,-21.3,2484,542,21
News Corp.,24000,Media,"Publishing, Printing",New York,NY,8319,-3.6,-21.3,15483,11564,179
Crown Holdings,23992,Materials,"Packaging, Containers",Philadelphia,PA,8284,-5.5,26.2,9599,366,496
Global Partners,1770,Wholesalers,Wholesalers: Diversified,Waltham,MA,8240,-20.1,-557.8,2564,393,-199.4
PVH,26650,Apparel,Apparel,New York,NY,8203,2.3,-4.1,11068,4805,549
Level 3 Communications,12600,Telecommunications,Telecommunications,Broomfield,CO,8172,-0.7,-80.3,24888,10917,677
Navistar International,11300,Industrials,Construction and Farm Machinery,Lisle,IL,8111,-20,-80.3,5653,-5298,-97
Univar,8700,Wholesalers,Wholesalers: Diversified,Downers Grove,IL,8074,-10.1,-514.5,5390,810,-68.4
Campbell Soup,16500,"Food, Beverages & Tobacco",Food Consumer Products,Camden,NJ,7961,-1.5,-18.5,7837,1525,563
Dick’s Sporting Goods,27550,Retailing,Specialty Retailers: Other,Coraopolis,PA,7922,9,-13,4058,1930,287.4
Weyerhaeuser,10400,Materials,Forest and Paper Products,Seattle,WA,7902,11.6,103,19243,9180,1027
Mutual of Omaha Insurance,5732,Financials,"Insurance: Life, Health (Stock)",Omaha,NE,7899,9.2,7.1,38465,5618,356.6
Chesapeake Energy,3300,Energy,"Mining, Crude-Oil Production",Oklahoma City,OK,7872,-38.3,7.1,13028,-1460,-4401
Anadarko Petroleum,4500,Energy,"Mining, Crude-Oil Production",The Woodlands,TX,7869,-9.5,7.1,45564,12212,-3071
Interpublic Group,49800,Business Services,"Advertising, Marketing",New York,NY,7847,3.1,33.9,12485,2017,608.5
J.M. Smucker,6910,"Food, Beverages & Tobacco",Food Consumer Products,Orrville,OH,7811,37.2,99.7,15984,7009,688.7
Steel Dynamics,7695,Materials,Metals,Fort Wayne,IN,7777,2.4,99.7,6424,2927,382.1
Foot Locker,32965,Retailing,Specialty Retailers: Apparel,New York,NY,7766,4.8,22.7,3840,2710,664
Western Refining,7134,Energy,Petroleum Refining,El Paso,TX,7743,-20.9,-69.3,5560,1697,124.9
SpartanNash,11500,Wholesalers,Wholesalers: Food and Grocery,Byron Center,MI,7735,1.1,-9.4,1930,825,56.8
Dean Foods,17000,"Food, Beverages & Tobacco",Food Consumer Products,Dallas,TX,7710,-5.1,-9.4,2606,611,119.9
Zimmer Biomet Holdings,18500,Health Care,Medical Products and Equipment,Warsaw,IN,7684,28.1,108.1,26684,9669,305.9
PulteGroup,4623,Engineering & Construction,Homebuilders,Atlanta,GA,7669,28.2,22,10178,4659,602.7
W.R. Berkley,7608,Financials,Insurance: Property and Casualty (Stock),Greenwich,CT,7654,6.2,19.5,23365,5047,601.9
Quanta Services,28100,Engineering & Construction,"Engineering, Construction",Houston,TX,7651,0.2,-36.2,5354,3339,198.4
EOG Resources,2650,Energy,"Mining, Crude-Oil Production",Houston,TX,7651,-12.6,-36.2,29459,13982,-1096.7
Charles Schwab,16200,Financials,Securities,San Francisco,CA,7644,17.6,30.5,223383,16421,1889
Eversource Energy,7762,Energy,Utilities: Gas and Electric,Springfield,MA,7639,-4,7.3,32053,10712,942.3
Anixter International,8900,Wholesalers,Wholesalers: Electronics and Office Equipment,Glenview,IL,7625,15.6,-5.6,4094,1292,120.5
EMCOR Group,31000,Engineering & Construction,"Engineering, Construction",Norwalk,CT,7552,12.3,5.6,3894,1537,181.9
Assurant,14700,Financials,Insurance: Property and Casualty (Stock),New York,NY,7532,-27.1,299.4,29709,4098,565.4
CenterPoint Energy,7727,Energy,Utilities: Gas and Electric,Houston,TX,7528,1.9,299.4,21829,3460,432
Harris,21000,Technology,Network and Other Communications Equipment,Melbourne,FL,7527,48.1,-3,11996,3056,324
HD Supply Holdings,14000,Wholesalers,Wholesalers: Diversified,Atlanta,GA,7524,-14.3,-86.7,5707,960,196
PPL,12689,Energy,Utilities: Gas and Electric,Allentown,PA,7517,-2,178.9,38315,9899,1902
Quest Diagnostics,43000,Health Care,Health Care: Pharmacy and Other Services,Madison,NJ,7515,0.3,-9,10100,4628,645
Williams,5604,Energy,Energy,Tulsa,OK,7499,1.9,-9,46835,4643,-424
WEC Energy Group,8074,Energy,Utilities: Gas and Electric,Milwaukee,WI,7472,26.1,47.1,30123,8930,939
Hershey,17140,"Food, Beverages & Tobacco",Food Consumer Products,Hershey,PA,7440,0.7,40.4,5524,786,720
AGCO,19795,Industrials,Construction and Farm Machinery,Duluth,GA,7411,-0.8,-39.9,7168,2776,160.1
Ralph Lauren,20500,Apparel,Apparel,New York,NY,7405,-2.8,-43.6,6213,3744,396
Masco,26000,Household Products,"Home Equipment, Furnishings",Taylor,MI,7357,-6.9,38.3,5137,-298,491
WESCO International,9000,Wholesalers,Wholesalers: Diversified,Pittsburgh,PA,7336,-2.4,-51.8,4491,2013,101.6
LifePoint Health,47000,Health Care,Health Care: Medical Facilities,Brentwood,TN,7274,20.9,-33,6319,2180,121.9
National Oilwell Varco,36384,Energy,"Oil and Gas Equipment, Services",Houston,TX,7251,-50.9,-33,21140,13940,-2412
Kindred Healthcare,76650,Health Care,Health Care: Medical Facilities,Louisville,KY,7227,1.8,-33,6113,813,-664.2
Mosaic,8700,Chemicals,Chemicals,Plymouth,MN,7163,-19.5,-70.2,16841,9585,297.8
Alliance Data Systems,17000,Business Services,Financial Data Services,Plano,TX,7138,10.8,-13.5,25514,1658,515.8
Computer Sciences,59000,Technology,Information Technology Services,Tysons,VA,7106,-41.7,"12,450.00",7736,2025,251
Huntington Ingalls Industries,37000,Aerospace & Defense,Aerospace and Defense,Newport News,VA,7068,0.7,41.8,6352,1653,573
Leidos Holdings,32000,Technology,Information Technology Services,Reston,VA,7043,38.5,-3.9,9132,3135,244
Erie Insurance Group,4988,Financials,Insurance: Property and Casualty (Mutual),Erie,PA,7016,5.7,10.7,18417,8528,741.9
Tesla,30025,Motor Vehicles & Parts,Motor Vehicles and Parts,Palo Alto,CA,7000,73,10.7,22664,4753,-674.9
Ascena Retail Group,41000,Retailing,Specialty Retailers: Apparel,Mahwah,NJ,6995,45.6,10.7,5506,1863,-11.9
Darden Restaurants,150942,"Hotels, Restaurants & Leisure",Food Services,Orlando,FL,6934,-3.2,-47.1,4583,1952,375
Harman International Industries,26000,Industrials,"Electronics, Electrical Equipment",Stamford,CT,6912,12.3,5.6,6054,2453,361.7
Nvidia,10299,Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,6910,37.9,171.3,9841,5762,1666
R.R. Donnelley & Sons,44360,Media,"Publishing, Printing",Chicago,IL,6896,-38.7,-428.2,4285,-106,-495.9
Fifth Third Bancorp,17844,Financials,Commercial Banks,Cincinnati,OH,6889,-2,-8.6,142177,16205,1564
Quintiles IMS Holdings,50000,Health Care,Health Care: Pharmacy and Other Services,Durham,NC,6878,19.9,-70.3,21208,8633,115
Jones Lang LaSalle,77300,Financials,Real Estate,Chicago,IL,6804,14,-27.5,7629,2790,318.2
Dover,29000,Industrials,Industrial Machinery,Downers Grove,IL,6794,-3.3,-41.5,10116,3800,508.9
Spirit AeroSystems Holdings,14400,Aerospace & Defense,Aerospace and Defense,Wichita,KS,6793,2.2,-40.4,5405,1928,469.7
Ryder System,34500,Transportation,"Trucking, Truck Leasing",Miami,FL,6787,3.3,-13.9,10903,2052,262.5
A-Mark Precious Metals,83,Materials,Miscellaneous,Santa Monica,CA,6784,11.8,31.5,437,63,9.3
Tractor Supply,19500,Retailing,Specialty Retailers: Other,Brentwood,TN,6780,8.9,6.5,2675,1453,437.1
Sealed Air,23000,Materials,"Packaging, Containers",Charlotte,NC,6778,-3.6,45,7389,610,486.4
Auto-Owners Insurance,4737,Financials,Insurance: Property and Casualty (Mutual),Lansing,MI,6775,4,-13.4,21571,9690,706.3
Yum China Holdings,420000,"Hotels, Restaurants & Leisure",Food Services,Plano,TX,6752,4,-13.4,3727,2377,502
Calpine,2372,Energy,Energy,Houston,TX,6716,3.8,-60.9,19317,3268,92
Owens-Illinois,27000,Materials,"Packaging, Containers",Perrysburg,OH,6702,8.9,54.8,9135,254,209
Targa Resources,1970,Energy,Pipelines,Houston,TX,6691,0.5,-421.3,12871,5439,-187.3
Jones Financial (Edward Jones),43000,Financials,Securities,Des Peres,MO,6632,-0.9,-11,19424,2634,746
JetBlue Airways,15986,Transportation,Airlines,Long Island City,NY,6632,3.4,12.1,9487,4013,759
Franklin Resources,9059,Financials,Securities,San Mateo,CA,6618,-16.7,-15.2,16099,11936,1726.7
Activision Blizzard,9500,Technology,Computer Software,Santa Monica,CA,6608,41.7,8.3,17452,9119,966
J.B. Hunt Transport Services,22190,Transportation,"Trucking, Truck Leasing",Lowell,AR,6556,5.9,1.1,3829,1414,432.1
Constellation Brands,9000,"Food, Beverages & Tobacco",Beverages,Victor,NY,6548,8.6,25.7,16965,6560,1054.9
NCR,33500,Technology,"Computers, Office Equipment",Duluth,GA,6543,2.7,25.7,7673,1542,270
Asbury Automotive Group,7900,Retailing,"Automotive Retailing, Services",Duluth,GA,6528,-0.9,-1.2,2336,280,167.2
American Financial Group,7600,Financials,Insurance: Property and Casualty (Stock),Cincinnati,OH,6498,5.7,84.4,55072,4916,649
Discovery Communications,7000,Media,Entertainment,Silver Spring,MD,6497,1.6,15.5,15758,5167,1194
Berry Global Group,21000,Materials,"Packaging, Containers",Evansville,IN,6489,32.9,174.4,7653,218,236
Sanmina,40178,Technology,Semiconductors and Other Electronic Components,San Jose,CA,6481,1.7,-50.2,3625,1610,187.8
CalAtlantic Group,3055,Engineering & Construction,Homebuilders,Arlington,VA,6477,83,127,8709,4208,484.7
Dr Pepper Snapple Group,20000,"Food, Beverages & Tobacco",Beverages,Plano,TX,6440,2.5,10.9,9791,2134,847
Dillard’s,30800,Retailing,General Merchandisers,Little Rock,AR,6418,-5,-37.2,3888,1717,169.2
HRG Group,16021,Household Products,Household and Personal Products,New York,NY,6403,10.1,-37.2,35793,638,-198.8
CMS Energy,7750,Energy,Utilities: Gas and Electric,Jackson,MI,6399,-0.9,5.4,21622,4253,551
Graybar Electric,8500,Wholesalers,Wholesalers: Diversified,St. Louis,MO,6385,4.5,2.2,2099,728,93.1
Builders FirstSource,14000,Materials,"Building Materials, Glass",Dallas,TX,6367,78.6,2.2,2910,310,144.3
Yum Brands,90000,"Hotels, Restaurants & Leisure",Food Services,Louisville,KY,6366,-51.4,25.2,5478,-5656,1619
Casey’s General Stores,24724,Retailing,Specialty Retailers: Other,Ankeny,IA,6304,-10.6,25.1,2726,1084,226
Amphenol,62000,Technology,Network and Other Communications Equipment,Wallingford,CT,6286,12.9,7.8,8499,3675,822.9
Oshkosh,13800,Industrials,Construction and Farm Machinery,Oshkosh,WI,6279,3,-5.7,4514,1977,216.4
iHeartMedia,18700,Media,Entertainment,San Antonio,TX,6274,0.5,-5.7,12862,-11021,-296.3
TreeHouse Foods,16027,"Food, Beverages & Tobacco",Food Consumer Products,Oak Brook,IL,6175,92.6,-298.9,6546,2503,-228.6
Alleghany,3420,Financials,Insurance: Property and Casualty (Stock),New York,NY,6131,22.6,-18.5,23757,7940,456.9
Expeditors International of Washington,16000,Transportation,Transportation and Logistics,Seattle,WA,6098,-7.8,-5.8,2791,1845,430.8
Avery Dennison,25000,Materials,"Packaging, Containers",Glendale,CA,6087,2,16.9,4396,926,320.7
Ameren,8629,Energy,Utilities: Gas and Electric,St. Louis,MO,6076,-0.4,3.7,24699,7103,653
Hanesbrands,67800,Apparel,Apparel,Winston-Salem,NC,6063,5.8,25.8,6908,1224,539.4
Motorola Solutions,14000,Technology,Network and Other Communications Equipment,Chicago,IL,6038,6,-8.2,8463,-964,560
St. Jude Medical,18000,Health Care,Medical Products and Equipment,St. Paul,MN,6004,8.4,-16.6,12578,4578,734
Harley-Davidson,6000,Transportation,Transportation Equipment,Milwaukee,WI,5997,8.4,-8,9890,1920,692.2
Regions Financial,22166,Financials,Commercial Banks,Birmingham,AL,5967,5.2,9.5,125968,16664,1163
Intercontinental Exchange,5631,Financials,Securities,Atlanta,GA,5958,27.3,11.6,82003,15717,1422
Alaska Air Group,19112,Transportation,Airlines,Seattle,WA,5931,5.9,-4,9962,2931,814
Old Republic International,8500,Financials,Insurance: Property and Casualty (Stock),Chicago,IL,5901,2.3,10.6,18592,4472,466.9
Lam Research,7500,Technology,Semiconductors and Other Electronic Components,Fremont,CA,5886,11.9,39.4,12272,5895,914
AK Steel Holding,8500,Materials,Metals,West Chester,OH,5883,-12.1,39.4,4036,-272,-7.8
Rockwell Automation,22000,Industrials,"Electronics, Electrical Equipment",Milwaukee,WI,5880,-6.8,-11.8,7101,1990,729.7
Adobe Systems,15706,Technology,Computer Software,San Jose,CA,5854,22.1,85.7,12707,7425,1168.8
Avon Products,26400,Household Products,Household and Personal Products,Rye,NY,5853,-18.4,85.7,3419,-848,-107.6
Terex,18100,Industrials,Construction and Farm Machinery,Westport,CT,5841,-10.7,-220.7,5007,1484.7,-176.1
NVR,4900,Engineering & Construction,Homebuilders,Reston,VA,5835,12.9,11.1,2644,1304,425.3
Dana,24900,Motor Vehicles & Parts,Motor Vehicles and Parts,Maumee,OH,5826,-3.9,302.5,4860,1157,640
Realogy Holdings,11800,Financials,Real Estate,Madison,NJ,5810,1.8,15.8,7421,2464,213
American Tower,4507,Telecommunications,Telecommunications,Boston,MA,5786,21.3,39.6,30879,6764,956.4
Packaging Corp. of America,14000,Materials,"Packaging, Containers",Lake Forest,IL,5779,0.6,2.9,5777,1760,449.6
Citizens Financial Group,17600,Financials,Commercial Banks,Providence,RI,5763,9.2,24.4,149520,19747,1045
United Rentals,12500,Business Services,Miscellaneous,Stamford,CT,5762,-0.9,-3.2,11988,1648,566
Clorox,8000,Household Products,Household and Personal Products,Oakland,CA,5761,1.7,11.7,4518,297,648
Genesis Healthcare,82000,Health Care,Health Care: Medical Facilities,Kennett Square,PA,5733,2,11.7,5779,-490,-64
M&T Bank Corp.,16487,Financials,Commercial Banks,Buffalo,NY,5722,14.5,21.8,123449,16487,1315.1
Ingredion,11000,"Food, Beverages & Tobacco",Food Production,Westchester,IL,5704,1.5,20.6,5782,2565,484.9
UGI,13105,Energy,Energy,King of Prussia,PA,5686,-15,29.8,10847,2851,364.7
Owens Corning,16000,Materials,"Building Materials, Glass",Toledo,OH,5677,6.1,19.1,7741,3849,393
S&P Global,20000,Business Services,Financial Data Services,New York,NY,5661,6.6,82.2,8669,650,2106
Markel,10900,Financials,Insurance: Property and Casualty (Stock),Glen Allen,VA,5612,4.5,-21.8,25875,8461,455.7
Wyndham Worldwide,37800,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Parsippany,NJ,5599,1.1,-0.2,9819,714,611
Arthur J. Gallagher,24790,Financials,Diversified Financials,Itasca,IL,5595,3.8,16.1,11490,3597,414.4
Burlington Stores,40000,Retailing,Specialty Retailers: Apparel,Burlington,NJ,5591,9,43.5,2575,-50,215.9
First American Financial,19531,Financials,Insurance: Property and Casualty (Stock),Santa Ana,CA,5576,7.7,19.1,8832,3008,343
Symantec,11000,Technology,Computer Software,Mountain View,CA,5568,-14.4,183.4,11767,3676,2488
Patterson,7000,Wholesalers,Wholesalers: Health Care,St. Paul,MN,5555,27,-16.2,3521,1442,187.2
Olin,6400,Chemicals,Chemicals,Clayton,MO,5551,94.5,-16.2,8763,2273,-3.9
NetApp,12030,Technology,Computer Peripherals,Sunnyvale,CA,5546,-9.4,-59.1,10037,2881,229
Raymond James Financial,11900,Financials,Securities,St. Petersburg,FL,5520,4,5.4,31594,4914,529.4
TravelCenters of America,20259,Retailing,Specialty Retailers: Other,Westlake,OH,5511,-5.8,-107.3,1660,552,-2
Fiserv,23000,Business Services,Financial Data Services,Brookfield,WI,5505,4.8,30.6,9743,2541,930
Host Hotels & Resorts,220,Financials,Real Estate,Bethesda,MD,5488,1.9,36.6,11408,6994,762
Insight Enterprises,5930,Wholesalers,Wholesalers: Electronics and Office Equipment,Tempe,AZ,5486,2.1,11.7,2219,713,84.7
Mattel,32000,Household Products,"Toys, Sporting Goods",El Segundo,CA,5457,-4.3,-13.9,6494,2408,318
AmTrust Financial Services,8000,Financials,Insurance: Property and Casualty (Stock),New York,NY,5451,18.1,-8.8,22615,3269,411
Cincinnati Financial,4754,Financials,Insurance: Property and Casualty (Stock),Fairfield,OH,5449,6,-6.8,20386,7060,590.7
Simon Property Group,4050,Financials,Real Estate,Indianapolis,IN,5435,3.2,0.6,31104,4310,1838.9
Western Union,10700,Business Services,Financial Data Services,Englewood,CO,5423,-1.1,-69.8,9420,902,253.2
KeyCorp,15700,Financials,Commercial Banks,Cleveland,OH,5422,19.4,-13.6,136453,15240,791
Delek US Holdings,1326,Energy,Petroleum Refining,Brentwood,TN,5414,-6,-892.3,2985,992,-153.7
Booz Allen Hamilton Holding,22600,Technology,Information Technology Services,McLean,VA,5406,2.5,26.5,3010,409,294.1
Chemours,7000,Chemicals,Chemicals,Wilmington,DE,5400,2.5,26.5,6060,100,7
Western & Southern Financial Group,2178,Financials,"Insurance: Life, Health (Mutual)",Cincinnati,OH,5398,0.8,-47.2,43831,5104,241.2
Celanese,7293,Chemicals,Chemicals,Irving,TX,5389,-5,196.1,8357,2588,900
Windstream Holdings,11870,Telecommunications,Telecommunications,Little Rock,AR,5387,-6.6,"-1,499.60",11770,170,-383.5
Seaboard,11781,"Food, Beverages & Tobacco",Food Production,Merriam,KS,5379,-3.8,82.5,4755,3162,312
